Stop_ID,FIPS,mix_x,max_x,min_y,max_y
1_60136,530330319073003,-122.153026,-122.145838,47.461016,47.465169
1_60137,530330319073003,-122.153026,-122.145838,47.461016,47.465169
1_56161,530330110013000,-122.283399,-122.280779,47.536144,47.537047
1_65600,530330247013004,-122.185377,-122.180066,47.556641,47.56034
1_60130,530330257022020,-122.163444,-122.1538,47.454516,47.456757
1_56162,530330110013007,-122.281959,-122.28074,47.534152,47.5354
1_56165,530330117001003,-122.280857,-122.279149,47.526102,47.527883
1_56164,530330117001001,-122.283697,-122.280066,47.527862,47.531539
1_79241,530330292063000,-122.254696,-122.249325,47.392084,47.397618
1_79240,530330292061103,-122.252451,-122.249411,47.408532,47.412201
1_79243,530330292061148,-122.247418,-122.244119,47.385371,47.386733
1_28870,530330004012008,-122.360945,-122.359595,47.728721,47.730514
1_79242,530330292063003,-122.254641,-122.248965,47.388442,47.392816
1_16440,530330036001022,-122.318705,-122.317365,47.674978,47.675839
1_27740,530330089001034,-122.289149,-122.287007,47.591103,47.592344
1_56159,530330110012008,-122.283445,-122.281211,47.537044,47.538897
1_2500,530330059004026,-122.370207,-122.369481,47.642013,47.643223
1_60147,530330319081000,-122.139797,-122.132053,47.446096,47.449855
1_60148,530330319081003,-122.144371,-122.134854,47.444946,47.448349
1_60146,530330319083000,-122.154039,-122.138948,47.444954,47.452332
1_65610,530330247013008,-122.182439,-122.179033,47.553643,47.55666
1_79248,530330292031063,-122.237387,-122.2335,47.383056,47.384254
1_60140,530330257022020,-122.163444,-122.1538,47.454516,47.456757
1_27745,530330095001066,-122.286849,-122.286041,47.587639,47.58983
1_19590,530330031003003,-122.387586,-122.386458,47.683182,47.684979
1_60144,530330319081004,-122.137781,-122.135435,47.445212,47.446022
1_60142,530330319083000,-122.154039,-122.138948,47.444954,47.452332
1_56151,530330110012008,-122.283445,-122.281211,47.537044,47.538897
1_79247,530330292031067,-122.237402,-122.234789,47.382192,47.383064
1_27770,530330004011005,-122.355569,-122.347726,47.727768,47.732313
1_16410,530330036001034,-122.321853,-122.320706,47.674813,47.675865
1_65620,530330247013015,-122.181538,-122.178951,47.552913,47.554637
1_16419,530330036001020,-122.320056,-122.318703,47.674984,47.67585
1_28890,530330004012002,-122.360934,-122.357732,47.732318,47.733217
1_2520,530330059004007,-122.36939,-122.367526,47.645031,47.645857
1_16425,530330036001013,-122.320509,-122.31997,47.67664,47.679555
1_16426,530330036002002,-122.322913,-122.321674,47.681076,47.683883
1_56130,530330110012004,-122.284809,-122.282963,47.54065,47.54247
1_19570,530330031003015,-122.387551,-122.386442,47.679504,47.681314
1_60120,530330258043003,-122.169782,-122.163569,47.452228,47.456423
1_65630,530330247013016,-122.181559,-122.178954,47.551502,47.55336
1_16427,530330036004021,-122.320706,-122.320391,47.675852,47.677248
1_16428,530330036002028,-122.324252,-122.322888,47.681786,47.682732
1_56230,530330117001014,-122.279894,-122.273823,47.519026,47.523312
1_42680,530330303122002,-122.368591,-122.366253,47.298763,47.300553
1_65652,530330247022001,-122.180228,-122.175685,47.549285,47.549818
1_2430,530330069003019,-122.368404,-122.367741,47.628753,47.62991
1_4220,530330072001022,-122.347605,-122.346291,47.620714,47.622088
1_2420,530330069003014,-122.367741,-122.365498,47.62769,47.628754
1_65640,530330247022001,-122.180228,-122.175685,47.549285,47.549818
1_18090,530330032003025,-122.398314,-122.396084,47.6673,47.667809
1_42670,530330303122002,-122.368591,-122.366253,47.298763,47.300553
1_56240,530330117001014,-122.279894,-122.273823,47.519026,47.523312
1_5740,530330017021008,-122.356737,-122.355378,47.697837,47.699653
1_2440,530330069002017,-122.370412,-122.369731,47.631113,47.632311
1_48290,530330268011009,-122.340753,-122.3392,47.508134,47.51029
1_18085,530330032004019,-122.401153,-122.398314,47.667431,47.668623
1_65670,530330247022006,-122.178764,-122.175775,47.542015,47.545761
1_42660,530330303122004,-122.370857,-122.366255,47.296732,47.298468
1_5770,530330017021015,-122.3567,-122.355341,47.694215,47.69603
1_5771,530330017011005,-122.356681,-122.355322,47.692417,47.694221
1_4245,530330067002030,-122.347559,-122.346254,47.625416,47.62628
1_2450,530330069002014,-122.370409,-122.369707,47.632311,47.633529
1_48280,530330268011004,-122.340881,-122.339271,47.510266,47.512085
1_51890,530330108001025,-122.350458,-122.346247,47.534805,47.539089
1_65660,530330247022005,-122.178512,-122.175711,47.545757,47.548225
1_18070,530330032004007,-122.401132,-122.398324,47.669534,47.670422
1_42650,530330303124002,-122.37684,-122.373266,47.296105,47.297109
1_4230,530330072001013,-122.347561,-122.343738,47.623249,47.624556
1_2460,530330069004017,-122.370369,-122.369692,47.634739,47.635933
1_5760,530330017021014,-122.356719,-122.35536,47.696026,47.69784
1_18066,530330032004018,-122.398319,-122.39451,47.667513,47.668646
1_19510,530330047004005,-122.387589,-122.384744,47.670181,47.670915
1_4265,530330067002002,-122.346234,-122.344926,47.6289,47.629756
1_2470,530330069004010,-122.370357,-122.369663,47.635932,47.637758
1_18060,530330032006046,-122.40111,-122.398332,47.67129,47.671716
